trial_type,sequence_label,block,item_id,condition,group,list_id,typicality,visual_availability,color,audio,left_object,right_object,left_color,right_color,left_image,right_image,left_role,right_role,attention_question,attention_key,correct_key
critical,main-block-1,1,item_01,TYP_GRAY,B,List 2,typical,grayscale,yellow,cue_yellow.wav,shirt,banana,gray,gray,objects/grayscale/yellow_shirt_gray.jpg,objects/grayscale/yellow_banana_gray.jpg,color_variable,color_associated,,,
critical,main-block-1,1,item_02,ATYP_GRAY,B,List 2,atypical,grayscale,pink,cue_pink.wav,tennis ball,hat,gray,gray,objects/grayscale/pink_tennis_ball_gray.jpg,objects/grayscale/pink_hat_gray.jpg,color_associated,color_variable,,,
critical,main-block-1,1,item_03,ATYP_FULL,B,List 2,atypical,full-color,purple,cue_purple.wav,carrot,beanie,purple,purple,objects/full_color/purple_carrot.jpg,objects/full_color/purple_beanie.jpg,color_associated,color_variable,,,
critical,main-block-1,1,item_04,TYP_FULL,B,List 2,typical,full-color,red,cue_red.wav,book,ladybug,red,red,objects/full_color/red_book.jpg,objects/full_color/red_ladybug.jpg,color_variable,color_associated,Which one was a living object?,J,
filler,main-block-2,2,filler_02,FILLER,B,List 2,,full-color,green,cue_green.wav,notebook,bag,orange,green,objects/full_color/orange_notebook.jpg,objects/full_color/green_bag.jpg,filler_left,filler_right,,,J
critical,main-block-2,2,item_05,TYP_GRAY,B,List 2,typical,grayscale,orange,cue_orange.wav,car,basketball,gray,gray,objects/grayscale/orange_car_gray.jpg,objects/grayscale/orange_basketball_gray.jpg,color_variable,color_associated,Which one can carry humans?,F,
critical,main-block-3,3,item_06,ATYP_GRAY,B,List 2,atypical,grayscale,yellow,cue_yellow.wav,tomato,bowl,gray,gray,objects/grayscale/yellow_tomato_gray.jpg,objects/grayscale/yellow_bowl_gray.jpg,color_associated,color_variable,,,
critical,main-block-3,3,item_07,ATYP_FULL,B,List 2,atypical,full-color,yellow,cue_yellow.wav,frog,bucket,yellow,yellow,objects/full_color/yellow_frog.jpg,objects/full_color/yellow_bucket.jpg,color_associated,color_variable,,,
critical,main-block-3,3,item_08,TYP_FULL,B,List 2,typical,full-color,yellow,cue_yellow.wav,backpack,corn,yellow,yellow,objects/full_color/yellow_backpack.jpg,objects/full_color/yellow_corn.jpg,color_variable,color_associated,,,
filler,main-block-3,3,filler_03,FILLER,B,List 2,,full-color,purple,cue_purple.wav,bottle,clock,purple,red,objects/full_color/purple_bottle.jpg,objects/full_color/red_clock.jpg,filler_left,filler_right,,,F
critical,main-block-3,3,item_09,TYP_GRAY,B,List 2,typical,grayscale,yellow,cue_yellow.wav,umbrella,construction helmet,gray,gray,objects/grayscale/yellow_umbrella_gray.jpg,objects/grayscale/yellow_construction_helmet_gray.jpg,color_variable,color_associated,,,
critical,main-block-3,3,item_10,ATYP_GRAY,B,List 2,atypical,grayscale,green,cue_green.wav,eggplant,chair,gray,gray,objects/grayscale/green_eggplant_gray.jpg,objects/grayscale/green_chair_gray.jpg,color_associated,color_variable,,,
